Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,1.0575694e-07,0.0074370755,0.9881196,0.0004154998,2.776972e-06,0.0013806177,0.00223138,3.1167446e-08,0.0004130109,2.2084697e-10
35,1.6947741e-08,0.0066308435,0.99129665,0.0004624301,1.4649701e-06,0.0011826259,5.3504828e-06,0.00019114449,0.00022944338,2.5097014e-08
38,6.9504595e-06,0.00056241895,0.6399478,0.35648736,4.463526e-07,0.0021434901,9.7891876e-05,6.3227403e-06,0.00074712693,1.87985e-07
43,4.746809e-08,0.00088807725,0.9925063,9.055135e-05,0.0063923453,6.259339e-06,3.1906024e-05,3.294631e-05,5.138189e-05,3.2975652e-08
47,3.7190723e-08,8.4866035e-05,0.9997328,2.6367132e-05,9.8623364e-05,4.9186606e-06,4.5589524e-05,1.935773e-06,4.795203e-06,4.1720602e-10
72,1.2542655e-06,8.468779e-07,0.9994854,0.0004811846,2.4627838e-07,2.2816945e-05,7.2131854e-07,2.6878226e-06,4.757993e-06,2.319558e-09
77,7.0525985e-08,0.00012824485,0.99974495,1.1630199e-05,1.5685526e-05,5.6297654e-06,2.703883e-05,3.436092e-05,3.2400523e-05,2.7641862e-09
82,9.145754e-11,1.16126294e-07,0.99999845,7.917842e-08,9.1081705e-07,1.9716774e-08,1.2557125e-08,8.3691944e-08,1.8349552e-07,5.2567597e-13
106,3.2572427e-07,5.5694017e-07,0.9997905,3.9456794e-05,5.4850283e-05,1.4782299e-06,5.786453e-07,1.7223398e-05,9.495906e-05,1.6528082e-08
119,3.1112804e-06,0.0005527614,0.9119982,0.001336711,0.0004472735,7.663523e-05,7.845599e-06,0.02172071,0.063752,0.00010466086
147,1.1137878e-09,1.3935149e-06,0.9997582,0.00012178147,0.000102338665,5.028367e-08,1.0742938e-07,1.3766372e-07,1.5912246e-05,1.1797013e-10
149,0.00025161493,0.06298557,0.06839219,0.102699496,0.58351254,0.10753637,0.0062763398,0.0026429165,0.03207306,0.033629846
172,8.417705e-09,0.000116642455,0.9981565,0.0010306647,1.6191598e-07,1.3780345e-05,2.7503843e-06,3.699259e-09,0.0006795326,2.3781453e-11
174,8.2133744e-11,1.2022481e-05,0.9999764,7.4990353e-06,2.055861e-06,3.5935393e-08,2.1669779e-08,8.198318e-07,1.2391636e-06,8.263086e-12
186,1.6349599e-08,1.7347775e-05,0.99928623,0.00065322354,2.4667096e-07,3.2151054e-06,4.2964862e-07,7.895706e-07,3.85254e-05,2.6710442e-10
199,1.5214507e-08,0.00028528264,0.9443895,0.051945537,5.3803915e-06,3.0002616e-06,2.1961645e-08,0.00023145897,0.0031391014,6.461887e-07
208,5.3519307e-11,1.5196957e-05,0.9999498,6.39386e-08,2.7783626e-05,3.929491e-07,1.1927011e-07,6.5071476e-06,1.3814808e-07,2.3753022e-12
221,0.003211244,4.6670812e-07,0.94751585,0.047640316,0.00019156176,0.0005445847,5.722636e-05,0.00031905243,0.0004985872,2.1064812e-05
222,2.8781545e-07,6.474607e-07,0.9997379,8.5573374e-05,3.0805237e-05,5.211394e-06,1.0316676e-06,3.8361075e-05,0.00010012339,2.449151e-08
225,8.3619346e-07,0.00035821242,0.96210885,0.035016082,1.4812707e-06,0.0015249471,6.483491e-07,0.000527476,0.00046101486,3.519749e-07
236,5.7269447e-09,1.116917e-05,0.9999399,4.207566e-05,2.6415196e-06,4.2957558e-07,9.1032e-07,1.4050306e-06,1.4281859e-06,8.670203e-11
237,1.3522228e-09,0.00015068609,0.9997352,2.5429308e-06,8.662711e-05,3.4465737e-07,2.2885351e-05,1.2718044e-06,5.2635676e-07,6.794732e-11
244,1.2618124e-06,0.11475485,0.65397143,0.02105589,0.0038917132,0.0017273722,0.000110579276,0.20177273,0.002616498,9.7704324e-05
249,1.8093386e-08,0.0036396775,0.9952708,0.0008146452,6.967242e-06,1.839874e-05,2.3070741e-05,1.3079337e-05,0.0002134799,2.2186741e-09
256,4.7204436e-09,0.0019078477,0.9970335,0.00072764157,9.262136e-06,2.5531574e-06,2.9249632e-06,1.4094168e-05,0.0003020927,2.938328e-09
258,9.093573e-06,2.3964108e-07,0.9986504,2.4254708e-05,0.0010091166,2.3513458e-06,0.0002974535,1.8177191e-06,5.191625e-06,1.704275e-08
278,5.3487806e-06,5.88026e-06,0.9951845,5.8871137e-05,0.00014000261,1.37046745e-05,9.677967e-06,0.00013260376,0.0044486457,8.115543e-07
280,2.5460975e-10,0.00025028095,0.9996761,3.8356397e-05,2.9313148e-06,1.3285381e-07,5.246516e-06,9.89089e-09,2.6978887e-05,3.3846407e-12
285,7.637881e-09,6.415948e-07,0.99999225,3.2699763e-06,1.5661532e-06,1.4580364e-07,1.6376932e-06,7.078185e-08,3.894391e-07,4.026648e-12
291,3.565623e-08,0.0011886947,0.994495,0.003059008,6.616568e-07,6.270137e-05,2.0204718e-05,2.5151731e-08,0.0011736293,2.2040421e-10
293,1.4353139e-08,7.842837e-05,0.9983557,0.00021571701,0.0013334042,1.2054945e-06,7.745299e-06,2.1929236e-06,5.5518412e-06,8.152164e-09
298,2.0402856e-10,0.00081813073,0.9989593,5.04267e-05,1.5846965e-06,6.791387e-06,3.4093362e-06,6.280191e-08,0.0001602739,5.481922e-12
303,2.7480928e-06,9.9090685e-06,0.9882216,0.001221041,5.123404e-05,9.2126604e-05,5.640562e-07,0.0102482755,0.00015053166,2.0376217e-06
306,7.8395024e-10,0.0003448451,0.9994234,0.00013579224,1.5556725e-06,9.128282e-07,2.4841256e-06,1.3767328e-07,9.0926e-05,7.049619e-11
318,0.0029334268,2.32581e-05,0.41589844,0.4597789,0.002396016,0.00059475587,0.0003598623,0.00029569978,0.11751345,0.00020616915
321,2.1943252e-07,9.71923e-05,0.06822009,0.046067253,6.91606e-06,3.7934617e-05,3.5355643e-09,0.8848118,0.0006836725,7.4951764e-05
326,1.9396612e-10,0.00017889598,0.9997987,1.8066293e-06,7.2386565e-06,5.2939527e-07,1.1264491e-05,9.219293e-09,1.4545332e-06,2.3447284e-12
331,1.1415119e-10,3.19536e-05,0.99992955,3.4759083e-05,5.742911e-07,5.6223367e-08,1.3325437e-07,7.8843385e-08,2.9187195e-06,2.5895262e-12
362,1.1019165e-06,0.00017902117,0.76153547,0.09868681,1.0283768e-05,0.0016948568,1.7983137e-08,0.13503084,0.0028451222,1.6548835e-05
363,3.7572985e-09,0.011412378,0.98747253,0.00075108296,7.2615503e-06,1.0276694e-05,0.00018311551,3.0069398e-07,0.00016288324,1.8863275e-10
371,3.8278807e-09,7.831131e-05,0.9997408,0.00014454444,5.612866e-06,1.1881818e-06,1.043034e-05,1.0563747e-06,1.8010844e-05,7.7046106e-11
387,9.7232e-09,0.0002676106,0.99919385,7.6829245e-05,0.0003028287,1.1138533e-06,4.263578e-06,8.9027235e-05,6.460854e-05,7.559592e-09
390,1.8143883e-06,1.08518634e-07,0.9993237,4.6788027e-05,0.00043135902,1.67141e-06,1.2554316e-06,0.00018262818,1.0477901e-05,1.0989e-07
396,9.884801e-10,3.196846e-06,0.9999839,1.4564686e-06,9.173353e-06,6.057662e-08,1.0174414e-06,6.016063e-07,4.6155972e-07,7.3405145e-12
400,0.0011854812,4.3153852e-07,0.99251467,0.0003020791,0.0009993203,2.827965e-05,3.997029e-05,0.000110332156,0.0048048566,1.4516081e-05
