Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
61,1.1739671e-06,0.00021457858,0.017498318,0.025363088,0.00029632068,5.541416e-05,8.787687e-07,6.123852e-05,0.9555407,0.0009682617
84,1.1075509e-07,9.960451e-05,1.7851704e-05,6.8782715e-06,0.0006415279,1.8136667e-05,2.8971257e-05,2.7504623e-08,0.999183,3.9515808e-06
110,1.7998044e-06,2.105594e-06,2.3503346e-05,0.0020820955,1.5974556e-05,1.2807883e-06,1.8991441e-06,2.403586e-08,0.9978102,6.114867e-05
128,1.2680562e-09,1.716287e-05,4.5835077e-06,0.001966902,4.8394895e-07,6.548756e-06,3.545109e-09,1.5149475e-07,0.99798787,1.6324066e-05
134,7.4617095e-09,1.3992489e-05,2.2497456e-06,5.720203e-05,5.015727e-07,1.1407061e-06,2.478796e-07,2.0085793e-09,0.9999243,3.1298418e-07
146,2.062583e-08,1.520525e-05,1.0571847e-05,2.6763168e-05,4.5021534e-06,3.1486923e-06,1.0026744e-07,1.2060435e-07,0.9999355,4.075857e-06
177,0.0002640434,1.925574e-05,3.6313017e-05,0.0073640426,0.00033561827,0.0016667467,0.0002446037,9.037351e-06,0.98095095,0.009109437
179,6.512973e-08,3.879521e-06,6.640756e-05,4.179678e-05,5.530041e-06,4.6022382e-07,9.68237e-07,2.4000231e-08,0.9998797,1.1937674e-06
181,1.4927643e-06,4.6139126e-06,4.041684e-06,9.15928e-05,4.581881e-06,1.06994885e-05,3.6576705e-05,1.3551455e-08,0.99982053,2.5817595e-05
184,3.4578434e-06,4.3228796e-05,1.5418113e-05,0.002721669,1.689688e-05,3.682974e-05,5.408972e-05,7.217797e-08,0.9970849,2.3377523e-05
226,1.0828605e-08,7.839553e-05,1.6214472e-05,0.0005042226,2.8267592e-05,1.1831453e-05,6.3606535e-08,6.8996983e-06,0.99933964,1.4414243e-05
232,5.297779e-06,3.7624763e-05,3.372205e-05,0.00018126698,5.381653e-06,0.0024573405,0.00021611308,1.2321875e-07,0.99702317,3.9989365e-05
233,2.736067e-07,8.6944165e-05,0.0014534491,0.054390784,2.3240795e-05,0.00094000716,3.4168692e-09,0.07483221,0.85434747,0.013925587
242,1.6996246e-05,9.063414e-07,5.945174e-05,1.9824762e-05,8.812354e-05,2.8082036e-06,2.2801812e-06,4.2228276e-06,0.9991812,0.00062419113
257,9.179118e-06,0.0060999775,0.01972306,0.009005236,0.00034357514,6.735557e-05,0.008621566,1.7576186e-06,0.9561159,1.23726495e-05
260,4.7656523e-09,6.834791e-06,5.236367e-05,7.903485e-06,8.637204e-07,1.0427792e-06,7.54481e-08,2.7311055e-08,0.99993074,1.0729126e-07
266,0.0052283453,1.0684407e-05,6.4309985e-05,0.0010775429,5.976934e-05,0.00222703,0.0077461842,1.372085e-06,0.981913,0.0016718255
268,0.00022491982,8.7666456e-07,0.00015049323,0.0021227533,0.0009480095,0.0005158344,1.1157665e-05,2.0437652e-05,0.9713396,0.024665957
277,1.7097145e-06,5.5196106e-06,5.099419e-06,7.484949e-05,3.988293e-05,6.2809468e-06,3.111765e-06,1.7123269e-06,0.9983032,0.0015586212
