node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
4.363674e-09,1.3628531e-08,5.1066858e-05,5.8127283e-05,2.2490703e-08,3.4126303e-06,5.2394547e-13,0.9998826,3.602729e-07,4.2302877e-06
1.0575694e-07,0.0074370755,0.9881196,0.0004154998,2.776972e-06,0.0013806177,0.00223138,3.1167446e-08,0.0004130109,2.2084697e-10
4.168168e-09,0.9993655,0.00012332844,3.525331e-05,5.300245e-05,5.5208835e-05,9.828856e-06,3.5672776e-05,0.0003198997,2.377041e-06
0.9984629,1.5467368e-10,0.00020238444,3.2122728e-06,7.384473e-05,1.2260501e-05,0.00090834766,2.6304573e-05,9.000986e-06,0.00030174985
2.1484107e-06,5.10841e-07,3.185351e-06,1.505386e-07,0.997985,2.0551095e-06,1.04724e-05,5.17361e-06,3.431152e-05,0.0019570189
9.669703e-10,0.9988464,5.041023e-05,3.5502104e-05,8.0424135e-05,5.47403e-05,3.6743012e-07,0.00085991994,6.0122922e-05,1.2026649e-05
3.7708393e-08,5.3916638e-06,6.880189e-07,1.1972503e-06,0.99967074,3.9343556e-07,1.52266e-07,1.5163318e-05,0.00013452192,0.000171803
4.25294e-07,5.794063e-05,1.5761863e-07,0.00030277128,0.001030453,0.00019229589,6.5972984e-07,7.967103e-05,2.572444e-05,0.99830997
0.00027456548,0.0026786723,0.015025092,5.2874588e-05,0.28781497,0.6039793,0.07769774,0.0001869486,0.011033603,0.0012562409
1.2098485e-06,2.7263602e-06,3.8934581e-07,4.0253104e-05,0.0047662454,1.1021696e-05,5.0110966e-08,0.0011174069,0.00048800927,0.9935727
0.99969256,1.3592454e-12,1.0755868e-05,8.652705e-09,7.14185e-07,0.00011310706,0.00017796173,5.404469e-07,8.9771845e-08,4.173262e-06
0.0002475331,2.4499057e-08,7.563345e-06,7.4265665e-07,6.1746454e-05,7.2712714e-07,0.999556,5.952746e-10,0.00012517718,4.673788e-07
1.6506913e-08,2.92563e-07,5.0650675e-09,6.9221765e-05,0.000111561705,1.800039e-05,1.9781919e-10,0.00020640748,4.1936323e-06,0.99959034
0.999908,1.1834018e-12,4.294202e-05,3.042907e-08,1.0342204e-06,1.1396411e-05,2.8917777e-05,8.472772e-07,9.592626e-07,5.8521036e-06
8.06469e-10,0.9994592,5.09119e-06,0.00016328292,1.6409872e-06,2.1135387e-05,1.4112022e-06,3.177321e-07,0.00034497652,3.104824e-06
7.520941e-08,0.0037765102,1.3905629e-06,0.00027679608,1.3942404e-09,0.9958324,1.0747007e-06,2.0504538e-06,0.00010834953,1.4219178e-06
1.2611031e-06,2.2285437e-08,1.9783009e-08,1.034608e-05,0.00049160427,3.7765699e-06,9.53616e-09,2.4070043e-05,4.5739467e-05,0.99942315
