Image_Index,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31
18,4.7379966,0.0,2.5130923,0.0,3.0387127,0.0,0.0,0.0,2.0255976,0.0,1.8974875,0.0,2.626327,0.27137995,0.75202745,0.9529583,0.0,0.0,0.0,0.8083673,0.0,2.4059744,0.18303895,0.34887487,1.3720176,2.7503126,3.243346,1.5549223,2.5779426,0.0,4.3108826,4.7852983
30,7.387236,0.0,1.6669215,0.0,4.494398,0.3726193,0.0,0.0,1.7770889,0.0,4.9632936,0.0,0.0,0.0,1.9814026,0.37586334,0.0,0.0,0.0,0.0,0.0,4.1737504,0.5381429,1.1302098,0.7253425,3.6290593,5.031238,1.5533543,5.030161,0.0,2.6664524,2.541973
32,7.9447937,0.0,1.7660751,0.0,4.324183,0.75375044,0.0,0.0,0.98700225,0.0,4.251638,0.0,0.8749912,0.0,2.3283482,0.0,0.0,0.0,0.0,0.0,0.0,3.3625739,0.7348552,1.442941,1.3378273,3.83896,4.8660045,2.2764912,4.374053,0.0,4.085302,5.3400083
44,5.548365,0.0,3.1818948,0.0,3.9229374,0.0965428,0.0,0.0,1.3007834,0.0,3.6410933,0.0,0.09461652,0.73887587,1.9803063,0.91034615,0.07645579,0.0,0.0,0.84755754,0.0,4.078193,0.5452424,0.38389713,1.1455634,1.8784094,2.9125261,1.3466256,4.7665586,0.0,3.3402278,3.0497549
51,6.703297,0.0,1.6206968,0.0,3.7568011,0.0,0.0,0.0,2.2628999,0.0,3.8714705,0.0,1.2603672,0.0,1.8370169,0.29820034,0.11230573,0.0,0.0,0.0,0.0,3.7264938,0.20044667,0.6456332,1.1370672,2.7743685,4.704072,1.7922434,3.6501243,0.0,3.0324435,4.7209687
63,4.8524804,0.0,2.257565,0.0,4.886092,0.0,0.0,0.0,0.7442405,0.0,2.7450302,0.051858224,2.1770697,0.54132426,1.5416095,1.204811,1.2053884,0.0,0.0,0.0,0.0,3.7434504,0.0,0.6133709,0.14877118,3.8630195,3.7735245,0.5491523,4.4766536,0.0,4.9526305,2.010735
68,7.0984707,0.0,1.3661969,0.0,4.9658184,0.0,0.0,0.0,1.8477303,0.0,4.321911,0.0,1.3884163,0.0,1.7609985,0.38582405,0.27548596,0.0,0.0,0.0,0.0,3.8959923,0.24182981,1.2729768,0.7311716,4.150933,5.684288,1.8327194,4.6197433,0.0,4.059845,3.7626412
76,7.6952887,0.0,2.2672079,0.0,3.0728133,1.4339128,0.0,0.0,0.9176345,0.0,3.8202107,0.0,0.7915294,0.0,2.3509216,0.0,0.17422199,0.0,0.0,0.0,0.0,3.499193,0.6173841,1.2368492,1.4493608,4.6302133,4.242444,1.7721385,3.5051486,0.0,3.6492863,4.820242
87,6.1933665,0.0,2.246784,0.0,4.4704027,0.0,0.0,0.0,2.2558093,0.0,4.5606594,0.0,0.0,0.66479003,1.8449636,1.4402884,0.0,0.0,0.0,0.24389547,0.0,3.760327,1.3641214,0.5870792,1.2640862,1.4635289,4.472075,2.2017167,5.772328,0.0,2.8194401,3.1330206
90,6.932738,0.0,1.6857219,0.0,3.079699,0.9216473,0.0,0.0,1.8055028,0.0,3.6989634,0.0,1.5100094,0.0,1.890634,0.0,0.8462331,0.0,0.0,0.0,0.0,3.6350117,0.11221036,1.2793857,0.9424366,5.0141153,5.2344804,1.8489624,2.6485763,0.0,3.4101496,4.5488915
93,7.5465803,0.0,1.3885684,0.0,3.284179,1.1105224,0.0,0.0,2.5858932,0.0,4.7519054,0.0,0.6064082,0.0,2.0998354,0.0,0.51315707,0.0,0.0,0.0,0.0,3.6913242,0.6296624,1.2318364,0.7438469,4.8642793,5.861361,2.1078773,3.4227061,0.0,2.4904616,4.252184
112,6.964445,0.0,2.1822934,0.0,3.2085848,0.7673517,0.0,0.0,1.4134325,0.0,3.8443315,0.0,0.7260729,0.0,2.387853,0.0,0.4583825,0.0,0.0,0.0,0.0,3.8720167,0.24308413,1.0985315,1.0525193,3.732607,4.0905876,1.730017,3.4287875,0.0,3.1235993,4.404022
142,6.707521,0.0,1.4158446,0.0,4.8359246,0.0,0.0,0.0,1.1370769,0.0,4.29719,0.0,0.8005856,0.40903386,2.7495286,1.3465246,1.0334051,0.0,0.0,0.0,0.0,3.3461068,0.5965028,0.8756726,0.50422525,3.4845123,4.170586,0.6239839,4.549736,0.0,3.2789128,3.9066272
158,5.7543063,0.0,2.6951334,0.0,3.5299816,0.0,0.0,0.0,3.0234652,0.0,4.040089,0.0,0.9268825,2.76696,3.068679,1.4164313,1.4671433,0.0,0.0,0.6942243,0.0,4.91145,0.0,0.0,0.77395165,2.0450425,3.2280564,0.39909512,3.270351,0.0,1.957097,5.1235847
